tahun,bulan,minggu,kategori,jumlah_order,kategori_encoded
2017,3,12,bed_bath_table,72,7
2017,3,12,books_general_interest,2,8
2017,3,12,computers_accessories,39,15
2017,3,12,consoles_games,9,16
2017,3,12,cool_stuff,28,20
2017,3,12,drinks,2,24
2017,3,12,dvds_blu_ray,1,25
2017,3,12,electronics,9,26
2017,3,12,fashion_bags_accessories,17,28
2017,3,12,fashion_male_clothing,5,30
2017,3,12,fashion_shoes,5,31
2017,3,12,fixed_telephony,3,34
2017,3,12,food,2,36
2017,3,12,food_drink,1,37
2017,3,12,furniture_decor,61,39
2017,3,12,furniture_living_room,10,40
2017,3,12,garden_tools,37,42
2017,3,12,health_beauty,56,43
2017,3,12,home_appliances,2,44
2017,3,12,home_confort,4,47
2017,3,12,home_construction,2,48
2017,3,12,housewares,56,49
2017,3,12,kitchen_dining_laundry_garden_furniture,2,51
2017,3,12,luggage_accessories,8,53
2017,3,12,market_place,2,54
2017,3,12,musical_instruments,1,56
2017,3,12,office_furniture,15,57
2017,3,12,perfumery,30,59
2017,3,12,pet_shop,17,60
2017,3,12,small_appliances,7,63
2017,3,12,sports_leisure,53,65
2017,3,12,stationery,8,66
2017,3,12,tablets_printing_image,1,67
2017,3,12,telephony,56,68
2017,3,12,toys,20,69
2017,3,12,watches_gifts,15,70
2017,3,13,air_conditioning,2,1
2017,3,13,audio,3,4
2017,3,13,auto,17,5
2017,3,13,baby,6,6
2017,3,13,bed_bath_table,43,7
2017,3,13,books_general_interest,3,8
2017,3,13,computers_accessories,34,15
2017,3,13,consoles_games,7,16
2017,3,13,cool_stuff,16,20
2017,3,13,dvds_blu_ray,1,25
2017,3,13,electronics,9,26
2017,3,13,fashion_bags_accessories,14,28
2017,3,13,fashion_male_clothing,1,30
2017,3,13,fashion_shoes,2,31
2017,3,13,fashion_underwear_beach,1,33
2017,3,13,fixed_telephony,6,34
2017,3,13,food,5,36
2017,3,13,furniture_decor,33,39
2017,3,13,furniture_living_room,5,40
2017,3,13,garden_tools,17,42
2017,3,13,health_beauty,32,43
2017,3,13,home_comfort_2,2,46
2017,3,13,home_confort,5,47
2017,3,13,housewares,26,49
2017,3,13,luggage_accessories,9,53
2017,3,13,market_place,1,54
2017,3,13,musical_instruments,3,56
2017,3,13,office_furniture,9,57
2017,3,13,perfumery,14,59
2017,3,13,pet_shop,6,60
2017,3,13,signaling_and_security,1,62
2017,3,13,small_appliances,5,63
2017,3,13,sports_leisure,32,65
2017,3,13,stationery,16,66
2017,3,13,tablets_printing_image,2,67
2017,3,13,telephony,39,68
2017,3,13,toys,17,69
2017,3,13,watches_gifts,10,70
2017,4,13,air_conditioning,2,1
2017,4,13,auto,7,5
2017,4,13,baby,1,6
2017,4,13,bed_bath_table,31,7
2017,4,13,computers_accessories,3,15
2017,4,13,consoles_games,1,16
2017,4,13,cool_stuff,4,20
2017,4,13,fashion_bags_accessories,2,28
2017,4,13,fashion_shoes,1,31
2017,4,13,fashion_sport,1,32
2017,4,13,food,1,36
2017,4,13,furniture_decor,9,39
2017,4,13,furniture_living_room,2,40
2017,4,13,garden_tools,4,42
2017,4,13,health_beauty,12,43
2017,4,13,home_confort,1,47
2017,4,13,housewares,3,49
2017,4,13,luggage_accessories,2,53
2017,4,13,musical_instruments,1,56
2017,4,13,office_furniture,7,57
2017,4,13,perfumery,5,59
2017,4,13,pet_shop,2,60
2017,4,13,small_appliances,2,63
2017,4,13,sports_leisure,7,65
2017,4,13,stationery,3,66
2017,4,13,tablets_printing_image,2,67
2017,4,13,telephony,7,68
2017,4,13,toys,7,69
2017,4,13,watches_gifts,7,70
2017,4,14,air_conditioning,4,1
2017,4,14,audio,2,4
2017,4,14,auto,18,5
2017,4,14,baby,9,6
2017,4,14,bed_bath_table,74,7
2017,4,14,books_general_interest,1,8
2017,4,14,books_technical,1,10
2017,4,14,cine_photo,1,13
2017,4,14,computers_accessories,21,15
2017,4,14,consoles_games,5,16
2017,4,14,cool_stuff,28,20
2017,4,14,costruction_tools_garden,1,21
2017,4,14,dvds_blu_ray,1,25
2017,4,14,electronics,13,26
2017,4,14,fashion_bags_accessories,9,28
2017,4,14,fashion_male_clothing,2,30
2017,4,14,fashion_shoes,4,31
2017,4,14,fashion_underwear_beach,2,33
2017,4,14,fixed_telephony,2,34
2017,4,14,food,4,36
2017,4,14,furniture_decor,45,39
2017,4,14,furniture_living_room,2,40
2017,4,14,garden_tools,28,42
2017,4,14,health_beauty,37,43
2017,4,14,home_appliances,2,44
2017,4,14,home_comfort_2,1,46
2017,4,14,home_confort,2,47
2017,4,14,home_construction,1,48
2017,4,14,housewares,40,49
2017,4,14,kitchen_dining_laundry_garden_furniture,4,51
2017,4,14,la_cuisine,1,52
2017,4,14,luggage_accessories,11,53
2017,4,14,market_place,6,54
2017,4,14,musical_instruments,3,56
2017,4,14,office_furniture,11,57
2017,4,14,perfumery,30,59
2017,4,14,pet_shop,9,60
2017,4,14,signaling_and_security,2,62
2017,4,14,small_appliances,5,63
2017,4,14,sports_leisure,49,65
2017,4,14,stationery,8,66
2017,4,14,tablets_printing_image,2,67
2017,4,14,telephony,36,68
2017,4,14,toys,33,69
2017,4,14,watches_gifts,27,70
2017,4,15,air_conditioning,3,1
2017,4,15,audio,2,4
2017,4,15,auto,25,5
2017,4,15,baby,6,6
2017,4,15,bed_bath_table,33,7
2017,4,15,books_general_interest,2,8
2017,4,15,computers_accessories,25,15
2017,4,15,consoles_games,2,16
2017,4,15,cool_stuff,29,20
2017,4,15,costruction_tools_garden,1,21
2017,4,15,costruction_tools_tools,1,22
2017,4,15,electronics,6,26
2017,4,15,fashio_female_clothing,1,27
2017,4,15,fashion_bags_accessories,13,28
2017,4,15,fashion_shoes,4,31
2017,4,15,fashion_sport,2,32
2017,4,15,fashion_underwear_beach,1,33
2017,4,15,fixed_telephony,1,34
2017,4,15,food,2,36
2017,4,15,food_drink,1,37
2017,4,15,furniture_bedroom,1,38
2017,4,15,furniture_decor,29,39
2017,4,15,furniture_living_room,7,40
2017,4,15,garden_tools,30,42
2017,4,15,health_beauty,35,43
2017,4,15,home_appliances,2,44
2017,4,15,home_appliances_2,1,45
2017,4,15,home_construction,1,48
2017,4,15,housewares,23,49
2017,4,15,kitchen_dining_laundry_garden_furniture,2,51
2017,4,15,luggage_accessories,10,53
2017,4,15,market_place,1,54
2017,4,15,music,1,55
2017,4,15,musical_instruments,4,56
2017,4,15,office_furniture,1,57
2017,4,15,perfumery,22,59
2017,4,15,pet_shop,9,60
2017,4,15,signaling_and_security,1,62
2017,4,15,small_appliances,1,63
2017,4,15,sports_leisure,39,65
2017,4,15,stationery,9,66
2017,4,15,tablets_printing_image,1,67
2017,4,15,telephony,22,68
2017,4,15,toys,24,69
2017,4,15,watches_gifts,12,70
2017,4,16,air_conditioning,4,1
2017,4,16,audio,2,4
2017,4,16,auto,16,5
2017,4,16,baby,17,6
2017,4,16,bed_bath_table,76,7
2017,4,16,books_general_interest,7,8
2017,4,16,books_imported,1,9
2017,4,16,computers_accessories,36,15
2017,4,16,consoles_games,6,16
2017,4,16,cool_stuff,23,20
2017,4,16,costruction_tools_garden,2,21
2017,4,16,dvds_blu_ray,1,25
2017,4,16,electronics,13,26
2017,4,16,fashion_bags_accessories,9,28
2017,4,16,fashion_male_clothing,3,30
2017,4,16,fashion_shoes,6,31
2017,4,16,fashion_sport,1,32
2017,4,16,fixed_telephony,1,34
2017,4,16,food,1,36
2017,4,16,furniture_decor,54,39
2017,4,16,furniture_living_room,1,40
2017,4,16,garden_tools,22,42
2017,4,16,health_beauty,44,43
2017,4,16,home_appliances,2,44
2017,4,16,home_appliances_2,1,45
2017,4,16,home_confort,13,47
2017,4,16,home_construction,2,48
2017,4,16,housewares,27,49
2017,4,16,kitchen_dining_laundry_garden_furniture,1,51
2017,4,16,luggage_accessories,11,53
2017,4,16,market_place,5,54
2017,4,16,musical_instruments,6,56
2017,4,16,office_furniture,13,57
2017,4,16,perfumery,27,59
2017,4,16,pet_shop,13,60
2017,4,16,small_appliances,8,63
2017,4,16,sports_leisure,45,65
2017,4,16,stationery,6,66
2017,4,16,tablets_printing_image,2,67
2017,4,16,telephony,32,68
2017,4,16,toys,22,69
2017,4,16,watches_gifts,23,70
2017,4,17,air_conditioning,2,1
2017,4,17,art,1,2
2017,4,17,audio,5,4
2017,4,17,auto,18,5
2017,4,17,baby,17,6
2017,4,17,bed_bath_table,57,7
2017,4,17,books_general_interest,2,8
2017,4,17,christmas_supplies,1,12
2017,4,17,cine_photo,1,13
2017,4,17,computers_accessories,47,15
2017,4,17,consoles_games,3,16
2017,4,17,cool_stuff,30,20
2017,4,17,costruction_tools_garden,4,21
2017,4,17,electronics,16,26
2017,4,17,fashion_bags_accessories,15,28
2017,4,17,fashion_shoes,8,31
2017,4,17,fixed_telephony,2,34
2017,4,17,food_drink,2,37
2017,4,17,furniture_bedroom,2,38
2017,4,17,furniture_decor,54,39
2017,4,17,furniture_mattress_and_upholstery,1,41
2017,4,17,garden_tools,24,42
2017,4,17,health_beauty,52,43
2017,4,17,home_appliances,4,44
2017,4,17,home_confort,1,47
2017,4,17,home_construction,1,48
2017,4,17,housewares,76,49
2017,4,17,kitchen_dining_laundry_garden_furniture,2,51
2017,4,17,luggage_accessories,14,53
2017,4,17,market_place,7,54
2017,4,17,music,1,55
2017,4,17,musical_instruments,2,56
2017,4,17,office_furniture,26,57
2017,4,17,perfumery,17,59
2017,4,17,pet_shop,18,60
2017,4,17,small_appliances,4,63
2017,4,17,sports_leisure,63,65
2017,4,17,stationery,9,66
2017,4,17,tablets_printing_image,4,67
2017,4,17,telephony,45,68
2017,4,17,toys,27,69
2017,4,17,watches_gifts,26,70
2017,5,18,agro_industry_and_commerce,1,0
2017,5,18,air_conditioning,3,1
2017,5,18,art,1,2
2017,5,18,audio,3,4
2017,5,18,auto,21,5
2017,5,18,baby,24,6
2017,5,18,bed_bath_table,66,7
2017,5,18,books_general_interest,4,8
2017,5,18,books_technical,2,10
2017,5,18,cine_photo,1,13
2017,5,18,computers_accessories,42,15
2017,5,18,consoles_games,6,16
2017,5,18,cool_stuff,45,20
2017,5,18,costruction_tools_tools,2,22
2017,5,18,electronics,11,26
2017,5,18,fashion_bags_accessories,24,28
2017,5,18,fashion_shoes,4,31
2017,5,18,fashion_underwear_beach,1,33
2017,5,18,fixed_telephony,3,34
2017,5,18,food,1,36
2017,5,18,food_drink,1,37
2017,5,18,furniture_decor,60,39
2017,5,18,furniture_living_room,12,40
2017,5,18,garden_tools,40,42
2017,5,18,health_beauty,70,43
2017,5,18,home_appliances,10,44
2017,5,18,home_appliances_2,2,45
2017,5,18,home_confort,8,47
2017,5,18,home_construction,1,48
2017,5,18,housewares,63,49
2017,5,18,industry_commerce_and_business,1,50
2017,5,18,kitchen_dining_laundry_garden_furniture,2,51
2017,5,18,luggage_accessories,10,53
2017,5,18,market_place,5,54
2017,5,18,musical_instruments,7,56
2017,5,18,office_furniture,12,57
2017,5,18,perfumery,28,59
2017,5,18,pet_shop,20,60
2017,5,18,small_appliances,1,63
2017,5,18,sports_leisure,78,65
2017,5,18,stationery,18,66
2017,5,18,tablets_printing_image,2,67
